name,website,description,location,batch,industries,website_summary
Flock Safety,https://www.flocksafety.com/,Provides the first public safety operating system.,"Atlanta, GA, USA",S2017,"hardware, saas, machine-learning","To solve and eliminate crime – you need evidence. Protect your community, business or school 24/7 with coverage that never sleeps."
Deel,https://www.deel.com/,All-in-one payroll and HR platform.,"San Francisco, CA, USA",W2019,"hr-tech, b2b, saas, payroll, fintech","Hire, pay, and manage teams in 150+ countries with Deel. Run global payroll, ensure compliance, and streamline HR operations—all on one powerful platform."
Podium,https://www.podium.com/,AI-powered lead management and communication platform.,"Lehi, UT, USA",W2016,"ai, saas, b2b, fintech",AI-powered lead generation and management platform that helps you convert more leads and make more money.
Algolia,https://www.algolia.com/,Leading Search & Discovery API for websites and mobile apps.,"San Francisco, CA, USA",W2014,"developer-tools, saas, b2b","More than 18,000 organizations rely on Algolia. From Agentic to Generative to Search AI, Algolia gives teams the tools to build intuitive, adaptive, and high-performing digital experiences on a single AI search and retrieval platform."
Weave,https://www.getweave.com/,"Threads together data, software, and communication platforms.","Lehi, UT, USA",W2014,saas,"Weave brings together a world-class phone system and a suite of communication tools, so it's easy to automate more tasks, keep schedules full, get paid faster, collect more reviews and much more."
Flexport,https://www.flexport.com/,Platform for global logistics.,"San Francisco, CA, USA",W2014,"supply-chain, saas, logistics",Error
Webflow,https://webflow.com/,No-code visual web development platform.,"San Francisco, CA, USA",S2013,"saas, marketing, design","Create custom, responsive websites with the power of code — visually. Design and build your site with a flexible CMS and top-tier hosting. Try Webflow for free."
Fivetran,https://fivetran.com/,Automates data movement across cloud data platforms.,"Oakland, CA, USA",W2013,"data-engineering, saas, analytics, b2b","Effortlessly centralize all the data you need so your team can deliver better insights, faster. Start for free."
Benchling,https://www.benchling.com/,R&D Cloud to power biotechnology development.,"San Francisco, CA, USA",S2012,"b2b, saas, biotech","Benchling is a cloud-based platform for biotechnology research and development and the only biology-first platform for scientific data, collaboration, and insights."
Zapier,https://zapier.com/,"Workflow automation platform connecting over 6,000 apps.","Mountain View, CA, USA",S2012,"saas, b2b, automation","Build and scale AI workflows and agents across 8,000+ apps with Zapier—the most connected AI orchestration platform. Trusted by 3 million+ businesses. "
Stripe,https://stripe.com/,Builds economic infrastructure for the internet.,"San Francisco, CA, USA",S2009,"fintech, banking-as-a-service, saas","Stripe is a financial services platform that helps all types of businesses accept payments, build flexible billing models, and manage money movement."
Ashr,https://ashr.com,Test and evals platform that improves AI agents.,"San Francisco, CA, USA",W2026,"developer-tools, data-engineering, devops, artificial-intelligence, saas",The First Music Streaming Sandbox
End Close,https://endclose.com,Automatic reconciliation for payments companies.,"San Francisco, CA, USA",W2026,"ai, payments, b2b, saas, fintech",Reconciliation on autopilot for high-volume payments companies.
Proximitty,https://proximitty.ai,AI-native loan management system.,"San Francisco, CA, USA",W2026,"finops, lending, b2b, fintech, saas","AI-powered loan servicing that delivers personalized borrower experiences. Automate communications, streamline collections, and improve customer satisfaction with intelligent automation."
Wideframe,https://wideframe.com,AI agent that speeds up video work.,"San Francisco, CA, USA",W2026,"artificial-intelligence, saas",Wideframe - Agentic video editing. Tell the agent what you want. It handles the rest.
Polymorph,https://polymorph.co,Helps products feel 1:1 at scale.,"San Francisco, CA, USA",W2026,"marketing, analytics, artificial-intelligence, saas, b2b",AI testing and stressing services
Sponge,https://sponge.ai,Platform for agents to hold and spend money.,"San Francisco, CA, USA",W2026,"payments, crypto-web3, fintech, artificial-intelligence, saas",sponge.ai is for sale on Spaceship. Secure checkout and quick transfer. See all purchase options. No hidden fees.
Canary,https://canary.com,AI QA engineer that reads source code.,"San Francisco, CA, USA",W2026,"b2b, saas, artificial-intelligence, developer-tools","Canary 6-sensor garage safety system monitors CO, radon, CO2, natural gas, fire, and presence with intelligent emergency response. Automatically opens your garage door when danger is detected. The most comprehensive garage protection available."
Crosslayer Labs,https://crosslayerlabs.com,Detects impersonation attacks on websites and APIs.,"San Francisco, CA, USA",W2026,"saas, b2b, cybersecurity",Crosslayer Labs Website
Maven,https://maven.io,Enables AI agents to collect payments over the phone.,"San Francisco, CA, USA",W2026,"infrastructure, conversational-ai, saas, developer-tools, fintech",The Arena Group – Where the Action is
